test_no,rel,rel_clustered,l_rank,r_rank,l_rank_clustered,r_rank_clustered
2429,326,150,132897,3293,12961,1265
2430,327,236,419,336,1803,3349
2431,327,236,45286,306,1647313,66463
2432,327,236,192203,934,449701,100035
2433,327,236,30,7,1331042,2225539
2434,328,168,1203,1202,4858,1972
2435,328,168,11982,12835,835,2670
2436,328,168,4348,1081,7199,3173
2437,328,168,105901,15,575208,9337
2438,329,2,74,427,470,173
2439,329,2,1479290,1605020,2098784,1309437
2440,329,2,135405,1693370,283779,1484485
2442,331,7,316,556,588,732
2443,331,7,35,68,294,316
2444,331,7,157,80,2629,1540
2445,331,7,539539,28611,301372,3897
2446,332,182,5647,343,2153019,1662400
2447,332,182,842723,1950333,1854793,2159130
2448,332,182,327772,15029,539241,19278
2449,334,194,8639,34551,9166,14180
2450,334,194,831,248,2170,2767
2451,334,194,74646,492089,93395,1648655
2452,334,194,37116,5158,115831,29187
2453,334,194,66918,2611,976775,4676
2454,334,194,990754,62,953566,6040
2455,335,17,618731,46904,1317185,592161
2456,336,6,117442,38942,10810,28391
2457,336,6,45563,5372,248854,105379
2458,336,6,1802091,1970280,710236,49062
2459,337,293,1725317,1255335,10369,205128
2460,337,293,1454,3,2641,2046632
2461,337,293,440,1919,499,1915579
2462,337,293,10392,4,80663,1566610
2463,337,293,1218152,44,2219573,2263345
2464,339,204,75,3,163,611
2465,339,204,981121,1786536,960902,614732
2466,340,153,11681,119,21731,1706654
2467,340,153,776948,390674,1646698,1357391
2468,340,153,54730,44793,105049,70573
2469,340,153,238288,127360,803689,281285
2475,343,56,7624,77790,2933,26458
2476,343,56,202619,251210,1999737,67440
2477,343,56,188625,38130,314028,69690
2478,343,56,157847,570674,2195949,1353351
2479,344,154,62813,150,167765,1939054
2485,347,151,104,5532,1025,3196
2490,349,171,134,6,4072,161236
2491,349,171,355,393,1945279,1938749
2492,350,12,644136,25327,1942958,12360
2496,352,40,42,309712,0,268
2497,352,40,1,642090,0,315383
2498,352,40,1,511056,0,654207
2499,352,40,0,97732,0,193724
2500,352,40,0,126304,0,272260
2501,352,40,0,34130,0,223717
2502,352,40,0,291460,1,190430
2503,352,40,1,655644,0,253878
2512,355,111,22305,510,23726,2450
2513,356,1,4002,702,1282,777
2514,356,1,45,582,1010,26
2515,357,0,222221,13,204805,280603
2516,358,20,930,527,2212,22006
2517,358,20,2175,6,7195,14685
2518,358,20,6357,2,49116,1685
2519,358,20,1469839,6577,251391,1389300
2522,360,32,847712,80652,996035,160641
